"Id","TeamId","UserId"
16436,496,647
16437,497,619
16438,499,663
16439,500,673
16440,501,435
16441,502,652
16442,503,672
16443,504,722
16444,504,727
16445,505,728
16447,507,751
16448,508,745
16449,509,703
16450,510,701
16451,511,766
16452,512,726
16453,513,776
16454,514,694
16455,515,634
16456,516,786
16457,517,801
16458,518,635
16459,519,787
16460,522,554
16461,523,596
16462,524,825
16463,525,838
16464,526,839
16465,527,816
16466,528,778
16467,529,747
16468,531,842
16469,532,820
16470,532,879
16471,533,819
16472,533,821
16473,534,674
16474,535,747
16475,536,569
16476,537,894
16477,538,863
16478,539,840
16479,541,898
16480,542,899
16481,542,902
16482,543,903
16483,544,887
16484,547,583
16485,548,701
16486,549,896
16487,550,835
16488,551,917
16489,552,926
16490,553,970
16491,554,978
16492,555,973
16493,556,882
16494,560,991
16495,561,792
16496,562,914
16497,563,996
16498,566,998
16499,575,1004
16500,596,543
16505,605,963
16560,672,1238
16572,688,1002
16573,689,930
16574,690,1282
16575,691,1298
16576,692,1300
16577,693,1308
16578,697,1322
16579,697,1333
16580,700,1136
16581,700,1138
16582,700,1215
16583,700,1332
16584,702,1354
16585,703,1374
16586,704,717
16587,709,1412
16588,711,1420
16589,713,1422
16590,714,926
16591,715,1428
16592,716,1282
16593,718,1407
16594,719,1473
16595,724,1412
16596,725,1468
16597,727,1231
16598,728,1477
16599,729,1477
16600,731,1494
16601,732,1491
16602,735,747
16603,736,1526
16604,737,1307
16605,741,1527
16606,742,1207
16607,743,1517
16608,744,1482
16609,745,1576
16610,746,1481
16611,747,1479
16612,748,1582
16613,749,1554
16614,751,1461
16615,751,1542
16616,752,1486
16617,753,1344
16618,754,752
16619,754,1434
16620,754,1613
16621,756,1483
16622,757,1631
16623,759,1600
16624,760,703
16625,763,1654
16626,765,693
16627,766,1655
16628,767,1667
16629,768,811
16630,769,1676
16631,771,1692
16632,775,1600
16633,776,1596
16634,777,1694
16635,778,1679
16636,780,1655
16637,782,1743
16638,784,1486
16639,785,1726
16640,786,1697
16641,786,1762
16642,787,1045
16643,788,1744
16644,789,1718
16645,792,1373
16646,796,1822
16647,799,1596
16648,800,1818
16649,802,1312
16650,805,1849
16651,806,1621
16653,808,1858
16654,809,1859
16655,810,962
16656,811,1679
16657,813,1668
16658,819,1602
16659,820,1623
16660,821,1555
16661,822,1398
16662,825,1896
16663,827,1897
16664,835,1911
16665,839,1127
16666,842,1055
16667,846,1000
16668,847,1943
16669,849,1951
16670,850,1897
16671,851,1902
16672,852,1634
16673,853,1940
16674,860,606
16675,861,1864
16676,862,808
16677,863,778
16678,865,1311
16679,866,1393
16680,867,1990
16681,870,1997
16682,871,1998
16683,872,1999
16684,873,1037
16685,874,1211
16686,875,798
16687,876,855
16688,877,1335
16689,878,2003
16690,879,833
16691,879,2008
16692,880,1394
16693,882,747
16694,883,1968
16695,884,1455
16696,885,926
16697,886,1282
16698,887,1912
16699,888,2018
16700,889,2023
16701,890,2035
16702,891,478
16703,892,1962
16704,893,1744
16705,894,1828
16706,895,1553
16707,896,2015
16708,897,808
16709,898,2047
16710,899,2100
16711,900,2111
16712,901,2091
16713,902,2112
16714,903,2039
16715,904,2107
16716,905,2125
16717,906,2130
16718,907,2044
16719,908,2126
16720,909,2148
16721,910,2142
16722,911,2162
16723,912,1596
16724,913,2153
16725,914,2145
16726,915,1897
16727,916,2187
16728,917,1670
16729,918,2190
16730,919,2170
16731,920,2080
16732,921,2122
16733,922,2086
16734,922,2182
16735,922,2193
16736,923,2089
16737,924,1988
16738,925,2149
16739,926,2097
16740,927,1974
16741,928,2207
16742,929,2134
16743,930,2108
16744,931,2206
16745,932,2116
16746,933,1376
16747,934,1240
16748,935,2081
16749,936,2137
16750,937,1455
16751,938,2226
16752,939,1412
16753,940,2191
16754,941,1283
16755,942,2140
16756,942,2233
16757,943,2198
16758,944,2129
16759,945,2197
16760,946,2237
16761,947,1221
16762,948,2218
16763,949,2236
16764,950,1600
16765,951,368
16766,952,1382
16767,953,2248
16768,954,1594
16769,955,1680
16770,956,1300
16771,957,2100
16772,957,3256
16773,958,1483
16774,959,2046
16775,960,926
16776,961,1926
16777,962,855
16778,963,424
16779,964,2210
16780,965,786
16781,966,1902
16782,967,368
16783,968,2281
16784,968,2293
16785,969,2249
16786,970,745
16787,971,1955
16788,972,1822
16789,973,2141
16790,974,713
16791,975,2311
16792,976,1311
16793,977,2315
16794,978,2174
16795,979,2265
16796,980,2195
16797,981,2083
16798,982,2138
16799,983,2306
16800,984,1179
16801,985,2285
16802,986,2320
16803,987,1486
16804,988,2031
16805,989,2045
16806,990,2228
16807,991,2351
16808,992,1902
16809,993,2135
16810,994,2194
16811,995,368
16812,996,2371
16813,997,2400
16814,998,2417
16816,1000,811
16817,1001,2440
16818,1002,2209
16819,1003,2361
16820,1004,2473
16821,1005,2479
16822,1006,2498
16823,1007,2502
16824,1008,2487
16825,1009,2505
16826,1010,2500
16827,1011,2257
16828,1012,1222
16829,1013,2186
16830,1014,1869
16831,1015,2494
16832,1016,2454
16833,1017,829
16834,1018,2528
16835,1019,2461
16836,1020,2478
16837,1021,2535
16838,1022,2088
16839,1023,2396
16840,1024,2542
16841,1025,2545
16842,1026,1995
16843,1026,2001
16844,1026,2544
16845,1027,701
16846,1028,2523
16847,1029,1624
16848,1030,2423
16849,1031,1623
16850,1032,2062
16851,1033,2561
16852,1034,2574
16853,1035,2605
16854,1036,2558
16855,1037,2369
16856,1038,2591
16857,1039,2664
16858,1040,2674
16859,1041,2673
16860,1042,2552
16861,1043,2680
16862,1044,2620
16863,1045,2667
16864,1046,2683
16865,1047,2418
16866,1048,787
16867,1049,2497
16868,1050,2329
16869,1051,2104
16870,1051,2728
16871,1052,1680
16872,1053,701
16873,1054,1791
16875,1057,2729
16876,1058,1300
16877,1059,2675
16878,1060,2740
16879,1061,2678
16880,1062,2758
16881,1063,808
16882,1064,2760
16883,1065,2702
16884,1066,2471
16885,1067,2750
16886,1068,2340
16887,1069,855
16888,1070,2702
16889,1071,2618
16890,1072,2596
16891,1073,2056
16892,1074,1664
16893,1075,2779
16894,1076,2267
16895,1077,1634
16896,1078,2496
16897,1079,2623
16898,1079,2722
16899,1080,2088
16900,1081,2543
16901,1081,2793
16902,1081,2794
16903,1082,2392
16904,1082,2803
16905,1083,2599
16906,1084,2777
16907,1085,2811
16908,1086,2813
16910,1088,2462
16911,1089,2818
16912,1090,2717
16913,1091,2809
16915,1093,2517
16916,1094,2076
16917,1095,2833
16918,1096,2771
16919,1097,2837
16920,1098,2820
16921,1099,2839
16922,1100,2842
16923,1101,2724
16924,1102,2790
16925,1103,2846
16926,1105,399
16927,1106,2859
16928,1107,2495
16929,1108,2428
16930,1109,2863
16932,1111,1045
16933,1112,2027
16934,1113,2866
16935,1114,2868
16936,1115,2865
16937,1116,1811
16938,1117,2658
16939,1118,2815
16941,1120,2851
16942,1121,2768
16943,1122,2877
16944,1123,2879
16945,1124,2882
16946,1125,2890
16947,1127,1231
16948,1128,2900
16949,1129,2902
